crop,season,pH,soil_type,elevation,temperature
banana,2,6.1,2,600,29
banana,2,5.8,2,600,27
banana,2,6.3,2,600,27
banana,2,5.9,2,600,29
banana,2,5.5,2,600,26
banana,2,6.1,2,600,26
banana,2,6.1,2,600,27
banana,2,5.8,2,600,30
banana,2,5.9,2,600,26
banana,2,5.8,2,600,29
banana,2,5.8,2,600,29
banana,2,6.4,2,600,29
banana,2,5.6,2,600,28
banana,2,5.9,2,600,27
banana,2,6.5,2,600,28
banana,2,5.6,2,600,25
banana,2,6.2,2,600,26
banana,2,6.5,2,600,28
banana,2,5.6,2,600,26
banana,2,6.2,2,600,29
banana,2,6.2,2,600,26
banana,2,5.9,2,600,26
banana,2,6.2,2,600,25
banana,2,6.2,2,600,28
banana,2,6.3,2,600,26
banana,2,6.3,2,600,29
banana,2,5.7,2,600,29
banana,2,6.1,2,600,26
banana,2,5.6,2,600,26
banana,2,5.6,2,600,28
banana,2,6.1,2,600,28
banana,2,6.4,2,600,27
banana,2,6.1,2,600,25
banana,2,5.7,2,600,29
banana,2,5.6,2,600,29
banana,2,6.4,2,600,28
banana,2,6.2,2,600,25
banana,2,6.2,2,600,26
banana,2,5.9,2,600,26
banana,2,6.4,2,600,29
banana,2,6.2,2,600,27
banana,2,6,2,600,25
banana,2,5.9,2,600,29
banana,2,6,2,600,28
banana,2,6,2,600,30
banana,2,5.7,2,600,25
banana,2,5.7,2,600,26
banana,2,5.8,2,600,26
banana,2,5.5,2,600,27
banana,2,6,2,600,29
banana,2,5.8,2,600,28
banana,2,5.9,2,600,26
banana,2,6.2,2,600,27
banana,2,6,2,600,28
banana,2,5.8,2,600,29
banana,2,6.1,2,600,29
banana,2,6.5,2,600,27
banana,2,5.7,2,600,26
banana,2,5.8,2,600,28
banana,2,5.7,2,600,25
banana,2,6.2,2,600,28
banana,2,6,2,600,26
banana,2,6.2,2,600,27
banana,2,5.8,2,600,29
banana,2,5.7,2,600,29
banana,2,5.9,2,600,27
banana,2,6.1,2,600,26
banana,2,5.7,2,600,29
banana,2,5.7,2,600,28
banana,2,5.9,2,600,28
banana,2,6.1,2,600,25
banana,2,6,2,600,26
banana,2,6.4,2,600,25
banana,2,5.5,2,600,29
banana,2,5.7,2,600,26
banana,2,5.7,2,600,27
banana,2,6.3,2,600,25
banana,2,6.3,2,600,27
banana,2,6.2,2,600,25
banana,2,5.8,2,600,28
banana,2,6.3,2,600,28
banana,2,5.9,2,600,29
banana,2,5.6,2,600,28
banana,2,6.2,2,600,28
banana,2,6.3,2,600,29
banana,2,6.4,2,600,28
banana,2,5.8,2,600,25
banana,2,5.7,2,600,29
banana,2,5.7,2,600,27
banana,2,6.2,2,600,27
banana,2,5.6,2,600,25
banana,2,6.3,2,600,30
banana,2,6,2,600,28
banana,2,5.8,2,600,25
banana,2,6.2,2,600,29
banana,2,6.4,2,600,27
banana,2,5.9,2,600,28
banana,2,5.7,2,600,29
banana,2,6.3,2,600,27
banana,2,5.5,2,600,30
banana,4,6.1,2,600,29
banana,4,5.8,2,600,27
banana,4,6.3,2,600,27
banana,4,5.9,2,600,29
banana,4,5.5,2,600,26
banana,4,6.1,2,600,26
banana,4,6.1,2,600,27
banana,4,5.8,2,600,30
banana,4,5.9,2,600,26
banana,4,5.8,2,600,29
banana,4,5.8,2,600,29
banana,4,6.4,2,600,29
banana,4,5.6,2,600,28
banana,4,5.9,2,600,27
banana,4,6.5,2,600,28
banana,4,5.6,2,600,25
banana,4,6.2,2,600,26
banana,4,6.5,2,600,28
banana,4,5.6,2,600,26
banana,4,6.2,2,600,29
banana,4,6.2,2,600,26
banana,4,5.9,2,600,26
banana,4,6.2,2,600,25
banana,4,6.2,2,600,28
banana,4,6.3,2,600,26
banana,4,6.3,2,600,29
banana,4,5.7,2,600,29
banana,4,6.1,2,600,26
banana,4,5.6,2,600,26
banana,4,5.6,2,600,28
banana,4,6.1,2,600,28
banana,4,6.4,2,600,27
banana,4,6.1,2,600,25
banana,4,5.7,2,600,29
banana,4,5.6,2,600,29
banana,4,6.4,2,600,28
banana,4,6.2,2,600,25
banana,4,6.2,2,600,26
banana,4,5.9,2,600,26
banana,4,6.4,2,600,29
banana,4,6.2,2,600,27
banana,4,6,2,600,25
banana,4,5.9,2,600,29
banana,4,6,2,600,28
banana,4,6,2,600,30
banana,4,5.7,2,600,25
banana,4,5.7,2,600,26
banana,4,5.8,2,600,26
banana,4,5.5,2,600,27
banana,4,6,2,600,29
banana,4,5.8,2,600,28
banana,4,5.9,2,600,26
banana,4,6.2,2,600,27
banana,4,6,2,600,28
banana,4,5.8,2,600,29
banana,4,6.1,2,600,29
banana,4,6.5,2,600,27
banana,4,5.7,2,600,26
banana,4,5.8,2,600,28
banana,4,5.7,2,600,25
banana,4,6.2,2,600,28
banana,4,6,2,600,26
banana,4,6.2,2,600,27
banana,4,5.8,2,600,29
banana,4,5.7,2,600,29
banana,4,5.9,2,600,27
banana,4,6.1,2,600,26
banana,4,5.7,2,600,29
banana,4,5.7,2,600,28
banana,4,5.9,2,600,28
banana,4,6.1,2,600,25
banana,4,6,2,600,26
banana,4,6.4,2,600,25
banana,4,5.5,2,600,29
banana,4,5.7,2,600,26
banana,4,5.7,2,600,27
banana,4,6.3,2,600,25
banana,4,6.3,2,600,27
banana,4,6.2,2,600,25
banana,4,5.8,2,600,28
banana,4,6.3,2,600,28
banana,4,5.9,2,600,29
banana,4,5.6,2,600,28
banana,4,6.2,2,600,28
banana,4,6.3,2,600,29
banana,4,6.4,2,600,28
banana,4,5.8,2,600,25
banana,4,5.7,2,600,29
banana,4,5.7,2,600,27
banana,4,6.2,2,600,27
banana,4,5.6,2,600,25
banana,4,6.3,2,600,30
banana,4,6,2,600,28
banana,4,5.8,2,600,25
banana,4,6.2,2,600,29
banana,4,6.4,2,600,27
banana,4,5.9,2,600,28
banana,4,5.7,2,600,29
banana,4,6.3,2,600,27
banana,4,5.5,2,600,30
banana,2,6.1,2,800,29
banana,2,5.8,2,800,27
banana,2,6.3,2,800,27
banana,2,5.9,2,800,29
banana,2,5.5,2,800,26
banana,2,6.1,2,800,26
banana,2,6.1,2,800,27
banana,2,5.8,2,800,30
banana,2,5.9,2,800,26
banana,2,5.8,2,800,29
banana,2,5.8,2,800,29
banana,2,6.4,2,800,29
banana,2,5.6,2,800,28
banana,2,5.9,2,800,27
banana,2,6.5,2,800,28
banana,2,5.6,2,800,25
banana,2,6.2,2,800,26
banana,2,6.5,2,800,28
banana,2,5.6,2,800,26
banana,2,6.2,2,800,29
banana,2,6.2,2,800,26
banana,2,5.9,2,800,26
banana,2,6.2,2,800,25
banana,2,6.2,2,800,28
banana,2,6.3,2,800,26
banana,2,6.3,2,800,29
banana,2,5.7,2,800,29
banana,2,6.1,2,800,26
banana,2,5.6,2,800,26
banana,2,5.6,2,800,28
banana,2,6.1,2,800,28
banana,2,6.4,2,800,27
banana,2,6.1,2,800,25
banana,2,5.7,2,800,29
banana,2,5.6,2,800,29
banana,2,6.4,2,800,28
banana,2,6.2,2,800,25
banana,2,6.2,2,800,26
banana,2,5.9,2,800,26
banana,2,6.4,2,800,29
banana,2,6.2,2,800,27
banana,2,6,2,800,25
banana,2,5.9,2,800,29
banana,2,6,2,800,28
banana,2,6,2,800,30
banana,2,5.7,2,800,25
banana,2,5.7,2,800,26
banana,2,5.8,2,800,26
banana,2,5.5,2,800,27
banana,2,6,2,800,29
banana,2,5.8,2,800,28
banana,2,5.9,2,800,26
banana,2,6.2,2,800,27
banana,2,6,2,800,28
banana,2,5.8,2,800,29
banana,2,6.1,2,800,29
banana,2,6.5,2,800,27
banana,2,5.7,2,800,26
banana,2,5.8,2,800,28
banana,2,5.7,2,800,25
banana,2,6.2,2,800,28
banana,2,6,2,800,26
banana,2,6.2,2,800,27
banana,2,5.8,2,800,29
banana,2,5.7,2,800,29
banana,2,5.9,2,800,27
banana,2,6.1,2,800,26
banana,2,5.7,2,800,29
banana,2,5.7,2,800,28
banana,2,5.9,2,800,28
banana,2,6.1,2,800,25
banana,2,6,2,800,26
banana,2,6.4,2,800,25
banana,2,5.5,2,800,29
banana,2,5.7,2,800,26
banana,2,5.7,2,800,27
banana,2,6.3,2,800,25
banana,2,6.3,2,800,27
banana,2,6.2,2,800,25
banana,2,5.8,2,800,28
banana,2,6.3,2,800,28
banana,2,5.9,2,800,29
banana,2,5.6,2,800,28
banana,2,6.2,2,800,28
banana,2,6.3,2,800,29
banana,2,6.4,2,800,28
banana,2,5.8,2,800,25
banana,2,5.7,2,800,29
banana,2,5.7,2,800,27
banana,2,6.2,2,800,27
banana,2,5.6,2,800,25
banana,2,6.3,2,800,30
banana,2,6,2,800,28
banana,2,5.8,2,800,25
banana,2,6.2,2,800,29
