crop,season,pH,soil_type,elevation,temperature
carrot,1,6,2,1600,15
carrot,1,6.1,2,1600,15
carrot,1,6.2,2,1600,15
carrot,1,6.3,2,1600,15
carrot,1,6.4,2,1600,15
carrot,1,6.5,2,1600,15
carrot,1,6.6,2,1600,15
carrot,1,6.7,2,1600,15
carrot,1,6.8,2,1600,15
carrot,1,6.9,2,1600,15
carrot,1,7,2,1600,15
carrot,1,6,2,1600,16
carrot,1,6.1,2,1600,16
carrot,1,6.2,2,1600,16
carrot,1,6.3,2,1600,16
carrot,1,6.4,2,1600,16
carrot,1,6.5,2,1600,16
carrot,1,6.6,2,1600,16
carrot,1,6.7,2,1600,16
carrot,1,6.8,2,1600,16
carrot,1,6.9,2,1600,16
carrot,1,7,2,1600,16
carrot,1,6,2,1600,17
carrot,1,6.1,2,1600,17
carrot,1,6.2,2,1600,17
carrot,1,6.3,2,1600,17
carrot,1,6.4,2,1600,17
carrot,1,6.5,2,1600,17
carrot,1,6.6,2,1600,17
carrot,1,6.7,2,1600,17
carrot,1,6.8,2,1600,17
carrot,1,6.9,2,1600,17
carrot,1,7,2,1600,17
carrot,1,6,2,1600,18
carrot,1,6.1,2,1600,18
carrot,1,6.2,2,1600,18
carrot,1,6.3,2,1600,18
carrot,1,6.4,2,1600,18
carrot,1,6.5,2,1600,18
carrot,1,6.6,2,1600,18
carrot,1,6.7,2,1600,18
carrot,1,6.8,2,1600,18
carrot,1,6.9,2,1600,18
carrot,1,7,2,1600,18
carrot,1,6,2,1600,19
carrot,1,6.1,2,1600,19
carrot,1,6.2,2,1600,19
carrot,1,6.3,2,1600,19
carrot,1,6.4,2,1600,19
carrot,1,6.5,2,1600,19
carrot,1,6.6,2,1600,19
carrot,1,6.7,2,1600,19
carrot,1,6.8,2,1600,19
carrot,1,6.9,2,1600,19
carrot,1,7,2,1600,19
carrot,1,6,2,1600,20
carrot,1,6.1,2,1600,20
carrot,1,6.2,2,1600,20
carrot,1,6.3,2,1600,20
carrot,1,6.4,2,1600,20
carrot,1,6.5,2,1600,20
carrot,1,6.6,2,1600,20
carrot,1,6.7,2,1600,20
carrot,1,6.8,2,1600,20
carrot,1,6.9,2,1600,20
carrot,1,7,2,1600,20
carrot,2,6,2,1600,15
carrot,2,6.1,2,1600,15
carrot,2,6.2,2,1600,15
carrot,2,6.3,2,1600,15
carrot,2,6.4,2,1600,15
carrot,2,6.5,2,1600,15
carrot,2,6.6,2,1600,15
carrot,2,6.7,2,1600,15
carrot,2,6.8,2,1600,15
carrot,2,6.9,2,1600,15
carrot,2,7,2,1600,15
carrot,2,6,2,1600,16
carrot,2,6.1,2,1600,16
carrot,2,6.2,2,1600,16
carrot,2,6.3,2,1600,16
carrot,2,6.4,2,1600,16
carrot,2,6.5,2,1600,16
carrot,2,6.6,2,1600,16
carrot,2,6.7,2,1600,16
carrot,2,6.8,2,1600,16
carrot,2,6.9,2,1600,16
carrot,2,7,2,1600,16
carrot,2,6,2,1600,17
carrot,2,6.1,2,1600,17
carrot,2,6.2,2,1600,17
carrot,2,6.3,2,1600,17
carrot,2,6.4,2,1600,17
carrot,2,6.5,2,1600,17
carrot,2,6.6,2,1600,17
carrot,2,6.7,2,1600,17
carrot,2,6.8,2,1600,17
carrot,2,6.9,2,1600,17
carrot,2,7,2,1600,17
carrot,2,6,2,1600,18
carrot,2,6.1,2,1600,18
carrot,2,6.2,2,1600,18
carrot,2,6.3,2,1600,18
carrot,2,6.4,2,1600,18
carrot,2,6.5,2,1600,18
carrot,2,6.6,2,1600,18
carrot,2,6.7,2,1600,18
carrot,2,6.8,2,1600,18
carrot,2,6.9,2,1600,18
carrot,2,7,2,1600,18
carrot,2,6,2,1600,19
carrot,2,6.1,2,1600,19
carrot,2,6.2,2,1600,19
carrot,2,6.3,2,1600,19
carrot,2,6.4,2,1600,19
carrot,2,6.5,2,1600,19
carrot,2,6.6,2,1600,19
carrot,2,6.7,2,1600,19
carrot,2,6.8,2,1600,19
carrot,2,6.9,2,1600,19
carrot,2,7,2,1600,19
carrot,2,6,2,1600,20
carrot,2,6.1,2,1600,20
carrot,2,6.2,2,1600,20
carrot,2,6.3,2,1600,20
carrot,2,6.4,2,1600,20
carrot,2,6.5,2,1600,20
carrot,2,6.6,2,1600,20
carrot,2,6.7,2,1600,20
carrot,2,6.8,2,1600,20
carrot,2,6.9,2,1600,20
carrot,2,7,2,1600,20
carrot,3,6,2,1600,15
carrot,3,6.1,2,1600,15
carrot,3,6.2,2,1600,15
carrot,3,6.3,2,1600,15
carrot,3,6.4,2,1600,15
carrot,3,6.5,2,1600,15
carrot,3,6.6,2,1600,15
carrot,3,6.7,2,1600,15
carrot,3,6.8,2,1600,15
carrot,3,6.9,2,1600,15
carrot,3,7,2,1600,15
carrot,3,6,2,1600,16
carrot,3,6.1,2,1600,16
carrot,3,6.2,2,1600,16
carrot,3,6.3,2,1600,16
carrot,3,6.4,2,1600,16
carrot,3,6.5,2,1600,16
carrot,3,6.6,2,1600,16
carrot,3,6.7,2,1600,16
carrot,3,6.8,2,1600,16
carrot,3,6.9,2,1600,16
carrot,3,7,2,1600,16
carrot,3,6,2,1600,17
carrot,3,6.1,2,1600,17
carrot,3,6.2,2,1600,17
carrot,3,6.3,2,1600,17
carrot,3,6.4,2,1600,17
carrot,3,6.5,2,1600,17
carrot,3,6.6,2,1600,17
carrot,3,6.7,2,1600,17
carrot,3,6.8,2,1600,17
carrot,3,6.9,2,1600,17
carrot,3,7,2,1600,17
carrot,3,6,2,1600,18
carrot,3,6.1,2,1600,18
carrot,3,6.2,2,1600,18
carrot,3,6.3,2,1600,18
carrot,3,6.4,2,1600,18
carrot,3,6.5,2,1600,18
carrot,3,6.6,2,1600,18
carrot,3,6.7,2,1600,18
carrot,3,6.8,2,1600,18
carrot,3,6.9,2,1600,18
carrot,3,7,2,1600,18
carrot,3,6,2,1600,19
carrot,3,6.1,2,1600,19
carrot,3,6.2,2,1600,19
carrot,3,6.3,2,1600,19
carrot,3,6.4,2,1600,19
carrot,3,6.5,2,1600,19
carrot,3,6.6,2,1600,19
carrot,3,6.7,2,1600,19
carrot,3,6.8,2,1600,19
carrot,3,6.9,2,1600,19
carrot,3,7,2,1600,19
carrot,3,6,2,1600,20
carrot,3,6.1,2,1600,20
carrot,3,6.2,2,1600,20
carrot,3,6.3,2,1600,20
carrot,3,6.4,2,1600,20
carrot,3,6.5,2,1600,20
carrot,3,6.6,2,1600,20
carrot,3,6.7,2,1600,20
carrot,3,6.8,2,1600,20
carrot,3,6.9,2,1600,20
carrot,3,7,2,1600,20
carrot,4,6,2,1600,15
carrot,4,6.1,2,1600,15
carrot,4,6.2,2,1600,15
carrot,4,6.3,2,1600,15
carrot,4,6.4,2,1600,15
carrot,4,6.5,2,1600,15
carrot,4,6.6,2,1600,15
carrot,4,6.7,2,1600,15
carrot,4,6.8,2,1600,15
carrot,4,6.9,2,1600,15
carrot,4,7,2,1600,15
carrot,4,6,2,,16
carrot,4,6.1,2,1600,16
carrot,4,6.2,2,1600,16
carrot,4,6.3,2,1600,16
carrot,4,6.4,2,1600,16
carrot,4,6.5,2,1600,16
carrot,4,6.6,2,1600,16
carrot,4,6.7,2,1600,16
carrot,4,6.8,2,1600,16
carrot,4,6.9,2,1600,16
carrot,4,7,2,1600,16
carrot,4,6,2,1600,17
carrot,4,6.1,2,1600,17
carrot,4,6.2,2,1600,17
carrot,4,6.3,2,1600,17
carrot,4,6.4,2,1600,17
carrot,4,6.5,2,1600,17
carrot,4,6.6,2,1600,17
carrot,4,6.7,2,1600,17
carrot,4,6.8,2,1600,17
carrot,4,6.9,2,1600,17
carrot,4,7,2,1600,17
carrot,4,6,2,1600,18
carrot,4,6.1,2,1600,18
carrot,4,6.2,2,1600,18
carrot,4,6.3,2,1600,18
carrot,4,6.4,2,1600,18
carrot,4,6.5,2,1600,18
carrot,4,6.6,2,1600,18
carrot,4,6.7,2,1600,18
carrot,4,6.8,2,1600,18
carrot,4,6.9,2,1600,18
carrot,4,7,2,1600,18
carrot,4,6,2,1600,19
carrot,4,6.1,2,1600,19
carrot,4,6.2,2,1600,19
carrot,4,6.3,2,1600,19
carrot,4,6.4,2,1600,19
carrot,4,6.5,2,1600,19
carrot,4,6.6,2,1600,19
carrot,4,6.7,2,1600,19
carrot,4,6.8,2,1600,19
carrot,4,6.9,2,1600,19
carrot,4,7,2,1600,19
carrot,4,6,2,1600,20
carrot,4,6.1,2,1600,20
carrot,4,6.2,2,1600,20
