crop,season,pH,soil_type,elevation,temperature
pepper,6,4.5,1,1200,23
pepper,6,4.6,1,1200,23
pepper,6,4.7,1,1200,23
pepper,6,4.8,1,1200,23
pepper,6,4.9,1,1200,23
pepper,6,5,1,1200,23
pepper,6,5.1,1,1200,23
pepper,6,5.2,1,1200,23
pepper,6,5.3,1,1200,23
pepper,6,5.4,1,1200,23
pepper,6,5.5,1,1200,23
pepper,6,5.6,1,1200,23
pepper,6,5.7,1,1200,23
pepper,6,5.8,1,1200,23
pepper,6,5.9,1,1200,23
pepper,6,6,1,1200,23
pepper,6,6.1,1,1200,23
pepper,6,6.2,1,1200,23
pepper,6,6.3,1,1200,23
pepper,6,6.4,1,1200,23
pepper,6,6.5,1,1200,23
pepper,6,6.6,1,1200,23
pepper,6,4.5,1,1200,24
pepper,6,4.6,1,1200,24
pepper,6,4.7,1,1200,24
pepper,6,4.8,1,1200,24
pepper,6,4.9,1,1200,24
pepper,6,5,1,1200,24
pepper,6,5.1,1,1200,24
pepper,6,5.2,1,1200,24
pepper,6,5.3,1,1200,24
pepper,6,5.4,1,1200,24
pepper,6,5.5,1,1200,24
pepper,6,5.6,1,1200,24
pepper,6,5.7,1,1200,24
pepper,6,5.8,1,1200,24
pepper,6,5.9,1,1200,24
pepper,6,6,1,1200,24
pepper,6,6.1,1,1200,24
pepper,6,6.2,1,1200,24
pepper,6,6.3,1,1200,24
pepper,6,6.4,1,1200,24
pepper,6,6.5,1,1200,24
pepper,6,6.6,1,1200,24
pepper,6,4.5,1,1200,25
pepper,6,4.6,1,1200,25
pepper,6,4.7,1,1200,25
pepper,6,4.8,1,1200,25
pepper,6,4.9,1,1200,25
pepper,6,5,1,1200,25
pepper,6,5.1,1,1200,25
pepper,6,5.2,1,1200,25
pepper,6,5.3,1,1200,25
pepper,6,5.4,1,1200,25
pepper,6,5.5,1,1200,25
pepper,6,5.6,1,1200,25
pepper,6,5.7,1,1200,25
pepper,6,5.8,1,1200,25
