crop,season,pH,soil_type,elevation,temperature
rice,2,6.5,1,400,21
rice,2,7,1,400,22
rice,2,7.8,1,400,23
rice,2,7,1,400,26
rice,2,7.6,1,400,20
rice,2,7.1,1,400,23
rice,2,5.7,1,400,23
rice,2,5.7,1,400,20
rice,2,6.7,1,400,25
rice,2,6.3,1,400,23
rice,2,5.4,1,400,27
rice,2,7.5,1,400,24
rice,2,5.1,1,400,27
rice,2,7,1,400,24
rice,2,6.9,1,400,26
rice,2,7,1,400,24
rice,2,6.2,1,400,22
rice,2,7,1,400,24
rice,2,6,1,400,22
rice,2,5.9,1,400,24
rice,2,6.4,1,400,21
rice,2,5.1,1,400,25
rice,2,6,1,400,22
rice,2,6.3,1,400,21
rice,2,7.4,1,400,23
rice,2,7.8,1,400,25
rice,2,6.3,1,400,26
rice,2,7.1,1,400,25
rice,2,6.2,1,400,21
rice,2,6,1,400,22
rice,2,5.8,1,400,21
rice,2,6.4,1,400,22
rice,2,6.4,1,400,25
rice,2,5,1,400,20
rice,2,6.1,1,400,26
rice,2,6,1,400,27
rice,2,6,1,400,27
rice,2,5.6,1,400,24
rice,2,7.4,1,400,21
rice,2,5.6,1,400,24
rice,2,6.4,1,400,23
rice,2,5.5,1,400,26
rice,2,6.9,1,400,26
rice,2,6.3,1,400,24
rice,2,7.2,1,400,26
rice,2,6.1,1,400,25
rice,2,5.2,1,400,25
rice,2,7.8,1,400,23
rice,2,7.1,1,400,22
rice,2,7.7,1,400,25
rice,2,5.3,1,400,23
rice,2,6.8,1,400,20
rice,2,7.4,1,400,24
rice,2,5.7,1,400,22
rice,2,5.5,1,400,26
rice,2,6.2,1,400,23
rice,2,7.1,1,400,26
rice,2,6,1,400,24
rice,2,7.2,1,400,20
rice,2,6.5,1,400,22
rice,2,7.6,1,400,20
rice,2,5.9,1,400,26
rice,2,6.9,1,400,21
rice,2,6.9,1,400,22
rice,2,5.7,1,400,20
rice,2,6.7,1,400,24
rice,2,5.6,1,400,21
rice,2,6.9,1,400,26
rice,2,5,1,400,24
rice,2,6.4,1,400,23
rice,2,6.9,1,400,25
rice,2,7.3,1,400,23
rice,2,6.6,1,400,25
rice,2,7.3,1,400,21
rice,2,7,1,400,26
rice,2,6.9,1,400,22
rice,2,7.9,1,400,27
rice,2,5,1,400,25
rice,2,6.1,1,400,27
rice,2,7.5,1,400,23
rice,2,5.7,1,400,26
rice,2,5.8,1,400,25
rice,2,6.3,1,400,26
rice,2,6,1,400,26
rice,2,5.5,1,400,25
rice,2,6.4,1,400,22
rice,2,5.1,1,400,23
rice,2,5.9,1,400,25
rice,2,5.2,1,400,24
rice,2,6.5,1,400,21
rice,2,7.1,1,400,27
rice,2,7.5,1,400,24
rice,2,6.2,1,400,27
rice,2,7.5,1,400,26
rice,2,6,1,400,23
rice,2,6.6,1,400,23
rice,2,6.5,1,400,22
rice,2,5.9,1,400,21
rice,2,7.1,1,400,27
rice,2,5.3,1,400,23
rice,4,6.5,1,400,21
rice,4,7,1,400,22
rice,4,7.8,1,400,23
rice,4,7,1,400,26
rice,4,7.6,1,400,20
rice,4,7.1,1,400,23
rice,4,5.7,1,400,23
rice,4,5.7,1,400,20
rice,4,6.7,1,400,25
rice,4,6.3,1,400,23
rice,4,5.4,1,400,27
rice,4,7.5,1,400,24
rice,4,5.1,1,400,27
rice,4,7,1,400,24
rice,4,6.9,1,400,26
rice,4,7,1,400,24
rice,4,6.2,1,400,22
rice,4,7,1,400,24
rice,4,6,1,400,22
rice,4,5.9,1,400,24
rice,4,6.4,1,400,21
rice,4,5.1,1,400,25
rice,4,6,1,400,22
rice,4,6.3,1,400,21
rice,4,7.4,1,400,23
rice,4,7.8,1,400,25
rice,4,6.3,1,400,26
rice,4,7.1,1,400,25
rice,4,6.2,1,400,21
rice,4,6,1,400,22
rice,4,5.8,1,400,21
rice,4,6.4,1,400,22
rice,4,6.4,1,400,25
rice,4,5,1,400,20
rice,4,6.1,1,400,26
rice,4,6,1,400,27
rice,4,6,1,400,27
rice,4,5.6,1,400,24
rice,4,7.4,1,400,21
rice,4,5.6,1,400,24
rice,4,6.4,1,400,23
rice,4,5.5,1,400,26
rice,4,6.9,1,400,26
rice,4,6.3,1,400,24
rice,4,7.2,1,400,26
rice,4,6.1,1,400,25
rice,4,5.2,1,400,25
rice,4,7.8,1,400,23
rice,4,7.1,1,400,22
rice,4,7.7,1,400,25
rice,4,5.3,1,400,23
rice,4,6.8,1,400,20
rice,4,7.4,1,400,24
rice,4,5.7,1,400,22
rice,4,5.5,1,400,26
rice,4,6.2,1,400,23
rice,4,7.1,1,400,26
rice,4,6,1,400,24
rice,4,7.2,1,400,20
rice,4,6.5,1,400,22
rice,4,7.6,1,400,20
rice,4,5.9,1,400,26
rice,4,6.9,1,400,21
rice,4,6.9,1,400,22
rice,4,5.7,1,400,20
rice,4,6.7,1,400,24
rice,4,5.6,1,400,21
rice,4,6.9,1,400,26
rice,4,5,1,400,24
rice,4,6.4,1,400,23
rice,4,6.9,1,400,25
rice,4,7.3,1,400,23
rice,4,6.6,1,400,25
rice,4,7.3,1,400,21
rice,4,7,1,400,26
rice,4,6.9,1,400,22
rice,4,7.9,1,400,27
rice,4,5,1,400,25
rice,4,6.1,1,400,27
