crop,season,pH,soil_type,elevation,temperature
tapioca,1,5.5,2,900,25
tapioca,1,5.6,2,900,25
tapioca,1,5.7,2,900,25
tapioca,1,5.8,2,900,25
tapioca,1,5.9,2,900,25
tapioca,1,6,2,900,25
tapioca,1,6.1,2,900,25
tapioca,1,6.2,2,900,25
tapioca,1,6.3,2,900,25
tapioca,1,6.4,2,900,25
tapioca,1,6.5,2,900,25
tapioca,1,6.6,2,900,25
tapioca,1,6.7,2,900,25
tapioca,1,6.8,2,900,25
tapioca,1,6.9,2,900,25
tapioca,1,7,2,900,25
tapioca,1,5.5,2,900,26
tapioca,1,5.6,2,900,26
tapioca,1,5.7,2,900,26
tapioca,1,5.8,2,900,26
tapioca,1,5.9,2,900,26
tapioca,1,6,2,900,26
tapioca,1,6.1,2,900,26
tapioca,1,6.2,2,900,26
tapioca,1,6.3,2,900,26
tapioca,1,6.4,2,900,26
tapioca,1,6.5,2,900,26
tapioca,1,6.6,2,900,26
tapioca,1,6.7,2,900,26
tapioca,1,6.8,2,900,26
tapioca,1,6.9,2,900,26
tapioca,1,7,2,900,26
tapioca,1,5.5,2,900,27
tapioca,1,5.6,2,900,27
tapioca,1,5.7,2,900,27
tapioca,1,5.8,2,900,27
tapioca,1,5.9,2,900,27
tapioca,1,6,2,900,27
tapioca,1,6.1,2,900,27
tapioca,1,6.2,2,900,27
tapioca,1,6.3,2,900,27
tapioca,1,6.4,2,900,27
tapioca,1,6.5,2,900,27
tapioca,1,6.6,2,900,27
tapioca,1,6.7,2,900,27
tapioca,1,6.8,2,900,27
tapioca,1,6.9,2,900,27
tapioca,1,7,2,900,27
tapioca,1,5.5,2,900,28
tapioca,1,5.6,2,900,28
tapioca,1,5.7,2,900,28
tapioca,1,5.8,2,900,28
tapioca,1,5.9,2,900,28
tapioca,1,6,2,900,28
tapioca,1,6.1,2,900,28
tapioca,1,6.2,2,900,28
tapioca,1,6.3,2,900,28
tapioca,1,6.4,2,900,28
tapioca,1,6.5,2,900,28
tapioca,1,6.6,2,900,28
tapioca,1,6.7,2,900,28
tapioca,1,6.8,2,900,28
tapioca,1,6.9,2,900,28
tapioca,1,7,2,900,28
tapioca,1,5.5,2,900,29
tapioca,1,5.6,2,900,29
tapioca,1,5.7,2,900,29
tapioca,1,5.8,2,900,29
tapioca,1,5.9,2,900,29
tapioca,1,6,2,900,29
tapioca,1,6.1,2,900,29
tapioca,1,6.2,2,900,29
tapioca,1,6.3,2,900,29
tapioca,1,6.4,2,900,29
tapioca,1,6.5,2,900,29
tapioca,1,6.6,2,900,29
tapioca,1,6.7,2,900,29
tapioca,1,6.8,2,900,29
tapioca,1,6.9,2,900,29
tapioca,1,7,2,900,29
tapioca,2,5.5,2,900,25
tapioca,2,5.6,2,900,25
tapioca,2,5.7,2,900,25
tapioca,2,5.8,2,900,25
tapioca,2,5.9,2,900,25
tapioca,2,6,2,900,25
tapioca,2,6.1,2,900,25
tapioca,2,6.2,2,900,25
tapioca,2,6.3,2,900,25
tapioca,2,6.4,2,900,25
tapioca,2,6.5,2,900,25
tapioca,2,6.6,2,900,25
tapioca,2,6.7,2,900,25
tapioca,2,6.8,2,900,25
tapioca,2,6.9,2,900,25
tapioca,2,7,2,900,25
tapioca,2,5.5,2,900,26
tapioca,2,5.6,2,900,26
tapioca,2,5.7,2,900,26
tapioca,2,5.8,2,900,26
tapioca,2,5.9,2,900,26
tapioca,2,6,2,900,26
tapioca,2,6.1,2,900,26
tapioca,2,6.2,2,900,26
tapioca,2,6.3,2,900,26
tapioca,2,6.4,2,900,26
tapioca,2,6.5,2,900,26
tapioca,2,6.6,2,900,26
tapioca,2,6.7,2,900,26
tapioca,2,6.8,2,900,26
tapioca,2,6.9,2,900,26
tapioca,2,7,2,900,26
tapioca,2,5.5,2,900,27
tapioca,2,5.6,2,900,27
tapioca,2,5.7,2,900,27
tapioca,2,5.8,2,900,27
tapioca,2,5.9,2,900,27
tapioca,2,6,2,900,27
tapioca,2,6.1,2,900,27
tapioca,2,6.2,2,900,27
tapioca,2,6.3,2,900,27
tapioca,2,6.4,2,900,27
tapioca,2,6.5,2,900,27
tapioca,2,6.6,2,900,27
tapioca,2,6.7,2,900,27
tapioca,2,6.8,2,900,27
tapioca,2,6.9,2,900,27
tapioca,2,7,2,900,27
tapioca,2,5.5,2,900,28
tapioca,2,5.6,2,900,28
tapioca,2,5.7,2,900,28
tapioca,2,5.8,2,900,28
tapioca,2,5.9,2,900,28
tapioca,2,6,2,900,28
tapioca,2,6.1,2,900,28
tapioca,2,6.2,2,900,28
tapioca,2,6.3,2,900,28
tapioca,2,6.4,2,900,28
tapioca,2,6.5,2,900,28
tapioca,2,6.6,2,900,28
tapioca,2,6.7,2,900,28
tapioca,2,6.8,2,900,28
tapioca,2,6.9,2,900,28
tapioca,2,7,2,900,28
tapioca,2,5.5,2,900,29
